Year,Jurisdiction,Subject,Grade,Subgroup,Mean,25th Percentile,50th Percentile,75th Percentile,Standard Deviation,Cumulative achievement level - Below Basic,Discrete achievement level - At Basic,Cumulative achievement level - At or above Basic,Discrete achievement level - At Proficient,Cumulative achievement level - At or above Proficient,Discrete achievement level - At Advanced,Cumulative achievement level - At Advanced
2009,RI,Mathematics,4,Special Education,213.87,192.59,214.49,234.95,30.62,49.09,37.73,50.91,12.25,13.18,0.92,0.92
2009,SC,Mathematics,4,Special Education,211.18,189.65,210.64,233.75,31.86,54.83,32.47,45.17,11.81,12.70,0.88,0.88
2009,SD,Mathematics,4,Special Education,225.57,206.45,226.79,246.01,30.83,34.72,43.11,65.28,19.19,22.17,2.98,2.98
2009,TN,Mathematics,4,Special Education,210.31,189.06,209.19,229.04,30.69,56.72,32.37,43.28,8.80,10.92,2.12,2.12
2009,TX,Mathematics,4,Special Education,221.80,200.78,221.64,243.34,30.32,39.31,42.69,60.69,16.02,18.01,1.99,1.99
2009,UT,Mathematics,4,Special Education,218.80,195.48,220.08,241.75,32.63,43.94,38.33,56.06,15.04,17.74,2.70,2.70
2009,VT,Mathematics,4,Special Education,226.00,205.45,225.94,246.25,28.93,34.30,43.22,65.70,19.97,22.48,2.51,2.51
2009,VA,Mathematics,4,Special Education,224.72,202.98,225.09,244.87,30.82,37.24,41.38,62.76,18.43,21.38,2.95,2.95
2009,WA,Mathematics,4,Special Education,217.42,194.87,215.34,239.49,31.08,48.52,34.83,51.48,14.80,16.65,1.85,1.85
2009,WV,Mathematics,4,Special Education,216.86,197.63,218.20,236.91,29.06,44.62,41.87,55.38,12.76,13.51,0.75,0.75
2009,WI,Mathematics,4,Special Education,221.96,202.82,221.93,241.14,29.40,39.60,42.81,60.40,15.54,17.59,2.05,2.05
2009,WY,Mathematics,4,Special Education,227.12,208.52,227.09,244.26,25.69,31.35,48.38,68.65,18.53,20.27,1.75,1.75
