Year,Jurisdiction,Subject,Grade,Subgroup,Mean,25th Percentile,50th Percentile,75th Percentile,Standard Deviation,Cumulative achievement level - Below Basic,Discrete achievement level - At Basic,Cumulative achievement level - At or above Basic,Discrete achievement level - At Proficient,Cumulative achievement level - At or above Proficient,Discrete achievement level - At Advanced,Cumulative achievement level - At Advanced
2011,AL,Mathematics,4,All,231.29,213.59,232.49,250.70,28.27,25.37,47.34,74.63,24.71,27.29,2.57,2.57
2011,AK,Mathematics,4,All,236.36,217.13,238.92,258.11,31.36,22.20,41.24,77.80,30.91,36.56,5.66,5.66
2011,AZ,Mathematics,4,All,235.16,216.46,237.01,256.14,29.82,22.65,43.76,77.35,29.20,33.58,4.38,4.38
2011,AR,Mathematics,4,All,237.81,219.68,239.94,258.05,28.76,19.48,43.24,80.52,32.81,37.28,4.47,4.47
2011,CA,Mathematics,4,All,234.16,212.71,235.36,256.98,32.32,26.17,40.03,73.83,27.50,33.80,6.30,6.30
2011,CO,Mathematics,4,All,244.46,225.10,246.64,265.18,30.51,15.67,37.50,84.33,37.19,46.84,9.65,9.65
2011,CT,Mathematics,4,All,242.41,222.67,245.57,264.17,30.70,18.13,36.42,81.87,37.21,45.45,8.24,8.24
2011,DE,Mathematics,4,All,240.36,223.37,241.40,258.90,26.85,16.28,45.15,83.72,33.56,38.57,5.00,5.00
2011,DC,Mathematics,4,All,221.81,198.59,222.31,245.16,35.05,40.19,38.25,59.81,17.49,21.56,4.08,4.08
2011,FL,Mathematics,4,All,239.83,222.27,240.65,258.31,27.14,16.44,46.22,83.56,31.91,37.34,5.43,5.43
2011,GA,Mathematics,4,All,238.37,218.89,238.95,259.10,29.35,20.40,42.60,79.60,30.67,37.00,6.33,6.33
2011,HI,Mathematics,4,All,238.82,220.40,241.36,260.70,31.46,19.56,40.76,80.44,33.29,39.68,6.39,6.39
2011,ID,Mathematics,4,All,240.33,222.47,241.83,259.67,27.54,16.92,43.61,83.08,34.12,39.47,5.35,5.35
2011,IL,Mathematics,4,All,238.84,219.09,239.94,260.16,30.53,20.20,41.46,79.80,31.41,38.34,6.93,6.93
2011,IN,Mathematics,4,All,243.84,226.95,245.00,262.19,27.18,13.43,42.50,86.57,37.06,44.07,7.01,7.01
2011,IA,Mathematics,4,All,242.60,225.87,244.59,261.07,26.87,14.32,42.57,85.68,37.37,43.11,5.73,5.73
2011,KS,Mathematics,4,All,246.26,230.41,247.62,263.43,25.21,10.12,42.21,89.88,40.86,47.66,6.80,6.80
2011,KY,Mathematics,4,All,240.83,223.71,241.61,258.89,26.41,15.23,45.93,84.77,33.55,38.85,5.30,5.30
2011,LA,Mathematics,4,All,230.78,212.35,231.56,249.75,27.17,26.88,47.27,73.12,23.59,25.86,2.26,2.26
2011,ME,Mathematics,4,All,244.26,227.28,245.74,263.13,27.10,13.26,41.75,86.74,37.76,44.99,7.23,7.23
2011,MD,Mathematics,4,All,247.11,226.52,247.14,267.90,29.91,13.79,38.59,86.21,35.12,47.62,12.50,12.50
2011,MA,Mathematics,4,All,253.40,236.74,254.73,271.68,26.28,7.45,34.10,92.55,44.98,58.45,13.47,13.47
2011,MI,Mathematics,4,All,236.40,217.19,237.96,256.75,29.28,21.76,43.45,78.24,30.03,34.79,4.76,4.76
2011,MN,Mathematics,4,All,249.19,231.27,251.20,269.61,29.53,11.96,35.11,88.04,41.15,52.93,11.79,11.79
2011,MS,Mathematics,4,All,229.87,211.65,230.67,249.10,27.59,27.59,47.32,72.41,22.96,25.08,2.12,2.12
2011,MO,Mathematics,4,All,240.49,222.53,242.85,260.85,28.71,17.29,41.30,82.71,35.85,41.41,5.56,5.56
2011,MT,Mathematics,4,All,243.80,228.04,245.99,262.11,26.38,13.20,41.51,86.80,39.91,45.29,5.39,5.39
2011,NE,Mathematics,4,All,239.80,221.71,241.80,259.62,28.17,17.48,43.10,82.52,34.30,39.42,5.12,5.12
2011,NV,Mathematics,4,All,237.03,218.29,238.59,256.91,28.48,20.89,43.43,79.11,31.08,35.67,4.60,4.60
2011,NH,Mathematics,4,All,251.78,236.20,253.60,268.91,25.19,7.57,35.22,92.43,46.68,57.21,10.53,10.53
2011,NJ,Mathematics,4,All,248.00,231.31,249.60,266.88,27.54,10.97,38.28,89.03,40.91,50.75,9.84,9.84
2011,NM,Mathematics,4,All,232.84,213.93,233.82,252.72,28.89,25.05,45.44,74.95,25.68,29.51,3.83,3.83
2011,NY,Mathematics,4,All,237.52,218.92,239.01,257.37,28.99,20.21,43.92,79.79,30.48,35.87,5.39,5.39
2011,NC,Mathematics,4,All,244.52,227.39,245.33,262.66,25.98,11.78,43.96,88.22,37.52,44.26,6.74,6.74
2011,ND,Mathematics,4,All,245.16,229.96,246.99,261.62,24.60,10.31,43.28,89.69,40.97,46.41,5.43,5.43
2011,OH,Mathematics,4,All,244.04,226.44,245.81,263.33,27.36,13.89,40.80,86.11,38.42,45.31,6.89,6.89
2011,OK,Mathematics,4,All,237.43,221.16,238.54,254.98,25.01,17.23,49.29,82.77,30.62,33.48,2.86,2.86
2011,OR,Mathematics,4,All,236.91,216.18,238.04,258.59,30.66,22.74,40.65,77.26,30.32,36.61,6.29,6.29
2011,PA,Mathematics,4,All,245.65,227.97,247.67,265.69,28.35,13.37,38.76,86.63,38.78,47.88,9.10,9.10
2011,RI,Mathematics,4,All,241.62,224.03,243.97,262.17,29.88,16.16,41.08,83.84,35.66,42.77,7.11,7.11
2011,SC,Mathematics,4,All,237.30,217.92,238.10,258.10,29.04,20.88,43.05,79.12,30.65,36.07,5.43,5.43
2011,SD,Mathematics,4,All,240.98,225.18,242.55,258.78,26.04,14.44,45.55,85.56,35.68,40.01,4.33,4.33
2011,TN,Mathematics,4,All,232.90,214.31,233.86,252.81,29.05,24.70,45.78,75.30,25.82,29.52,3.69,3.69
2011,TX,Mathematics,4,All,241.10,224.43,241.90,258.53,25.60,14.83,46.15,85.17,34.15,39.02,4.87,4.87
2011,UT,Mathematics,4,All,242.54,224.64,244.29,262.39,28.28,15.28,41.72,84.72,35.91,43.00,7.09,7.09
2011,VT,Mathematics,4,All,246.64,230.48,248.41,264.95,26.85,11.36,39.50,88.64,41.27,49.14,7.87,7.87
