Year,Jurisdiction,Subject,Grade,Subgroup,Mean,25th Percentile,50th Percentile,75th Percentile,Standard Deviation,Cumulative achievement level - Below Basic,Discrete achievement level - At Basic,Cumulative achievement level - At or above Basic,Discrete achievement level - At Proficient,Cumulative achievement level - At or above Proficient,Discrete achievement level - At Advanced,Cumulative achievement level - At Advanced
2017,AL,Mathematics,4,All,232.17,212.32,233.99,253.81,30.12,26.66,42.14,73.34,27.64,31.20,3.56,3.56
2017,AK,Mathematics,4,All,230.46,209.13,233.51,255.27,34.79,29.07,39.28,70.93,26.43,31.66,5.22,5.22
2017,AZ,Mathematics,4,All,234.44,212.25,235.03,257.41,32.71,26.70,39.42,73.30,26.89,33.88,6.99,6.99
2017,AR,Mathematics,4,All,233.85,213.99,235.52,255.49,30.90,25.00,42.27,75.00,27.80,32.73,4.93,4.93
2017,CA,Mathematics,4,All,232.26,209.74,233.12,254.82,32.91,28.98,39.80,71.02,24.97,31.22,6.25,6.25
2017,CO,Mathematics,4,All,240.70,220.02,242.86,263.30,32.09,19.87,37.75,80.13,33.62,42.38,8.77,8.77
2017,CT,Mathematics,4,All,239.24,219.00,240.98,261.27,31.43,20.67,39.41,79.33,32.26,39.92,7.67,7.67
2017,DE,Mathematics,4,All,236.13,215.82,237.81,258.26,32.48,23.29,40.78,76.71,29.06,35.92,6.86,6.86
2017,DC,Mathematics,4,All,231.32,207.16,231.85,255.72,35.53,31.43,37.06,68.57,23.99,31.51,7.53,7.53
2017,FL,Mathematics,4,All,246.37,228.33,247.28,265.52,27.39,11.94,40.53,88.06,38.25,47.53,9.28,9.28
2017,GA,Mathematics,4,All,236.38,215.66,237.45,257.90,31.19,23.37,41.21,76.63,28.93,35.43,6.50,6.50
2017,HI,Mathematics,4,All,237.92,217.93,239.94,259.47,30.40,21.47,40.42,78.53,31.78,38.11,6.33,6.33
2017,ID,Mathematics,4,All,239.97,220.75,241.87,260.52,29.45,18.71,41.10,81.29,33.45,40.19,6.74,6.74
2017,IL,Mathematics,4,All,238.12,215.41,239.28,261.83,33.38,23.76,37.64,76.24,29.56,38.60,9.04,9.04
2017,IN,Mathematics,4,All,246.51,226.76,247.53,267.90,31.29,14.40,37.59,85.60,35.87,48.01,12.14,12.14
2017,IA,Mathematics,4,All,243.11,223.47,245.58,265.19,31.45,17.24,37.03,82.76,36.45,45.73,9.28,9.28
2017,KS,Mathematics,4,All,241.21,222.34,242.92,261.77,29.50,17.76,40.42,82.24,34.54,41.82,7.28,7.28
2017,KY,Mathematics,4,All,239.18,219.63,241.35,260.56,30.50,19.91,40.31,80.09,33.27,39.78,6.51,6.51
2017,LA,Mathematics,4,All,228.97,209.50,230.77,250.47,30.61,29.38,43.86,70.62,23.94,26.77,2.82,2.82
2017,ME,Mathematics,4,All,239.90,221.33,242.10,260.62,30.25,18.63,41.13,81.37,33.38,40.24,6.86,6.86
2017,MD,Mathematics,4,All,240.60,217.65,242.33,264.90,34.30,21.83,35.83,78.17,31.29,42.34,11.05,11.05
2017,MA,Mathematics,4,All,249.10,229.11,251.30,270.53,30.23,12.89,34.20,87.11,39.63,52.91,13.28,13.28
2017,MI,Mathematics,4,All,235.56,213.56,236.94,258.51,32.64,25.39,39.10,74.61,28.25,35.51,7.26,7.26
2017,MN,Mathematics,4,All,248.80,229.04,251.04,271.27,32.21,14.01,33.43,85.99,38.13,52.57,14.44,14.44
2017,MS,Mathematics,4,All,234.69,216.11,235.45,254.15,27.76,22.76,45.83,77.24,27.48,31.41,3.93,3.93
2017,MO,Mathematics,4,All,239.50,218.87,241.59,261.56,31.11,20.88,38.78,79.12,32.84,40.34,7.50,7.50
2017,MT,Mathematics,4,All,240.72,222.73,242.77,261.43,29.13,17.14,41.54,82.86,35.33,41.32,5.99,5.99
2017,NE,Mathematics,4,All,245.59,226.96,248.07,266.46,29.72,14.59,36.79,85.41,38.85,48.63,9.78,9.78
2017,NV,Mathematics,4,All,231.69,211.71,234.03,253.86,31.43,27.13,42.14,72.87,27.01,30.73,3.72,3.72
2017,NH,Mathematics,4,All,245.32,226.61,247.21,266.19,29.49,14.70,37.59,85.30,37.89,47.71,9.82,9.82
2017,NJ,Mathematics,4,All,247.86,228.69,248.96,268.55,30.04,12.57,37.50,87.43,37.60,49.93,12.33,12.33
2017,NM,Mathematics,4,All,229.70,208.59,230.15,251.04,30.49,30.66,42.16,69.34,23.07,27.18,4.12,4.12
2017,NY,Mathematics,4,All,235.55,215.19,237.90,257.32,30.99,23.89,40.64,76.11,30.03,35.47,5.44,5.44
2017,NC,Mathematics,4,All,240.95,220.70,242.81,262.70,31.10,19.28,38.70,80.72,33.42,42.01,8.60,8.60
2017,ND,Mathematics,4,All,244.24,226.18,246.16,264.04,28.38,14.58,39.62,85.42,37.80,45.80,8.00,8.00
2017,OH,Mathematics,4,All,240.93,220.81,242.40,261.50,30.51,18.84,40.01,81.16,32.87,41.15,8.28,8.28
2017,OK,Mathematics,4,All,237.33,219.64,239.07,256.65,28.02,19.52,45.29,80.48,30.80,35.18,4.38,4.38
2017,OR,Mathematics,4,All,233.13,211.53,234.75,256.72,33.67,27.18,39.56,72.82,26.71,33.26,6.55,6.55
2017,PA,Mathematics,4,All,241.67,220.26,243.77,264.87,32.75,19.65,36.72,80.35,33.51,43.63,10.12,10.12
2017,RI,Mathematics,4,All,237.55,218.13,240.39,260.05,32.20,21.45,39.91,78.55,31.97,38.64,6.67,6.67
2017,SC,Mathematics,4,All,234.04,213.80,234.88,255.26,30.88,25.21,42.89,74.79,26.35,31.90,5.56,5.56
2017,SD,Mathematics,4,All,241.59,223.24,243.85,261.71,29.03,16.93,40.23,83.07,35.98,42.84,6.86,6.86
2017,TN,Mathematics,4,All,236.69,216.22,237.99,258.54,31.08,22.80,41.22,77.20,29.47,35.98,6.51,6.51
2017,TX,Mathematics,4,All,240.94,221.10,242.06,262.65,30.80,18.45,40.37,81.55,32.86,41.18,8.32,8.32
2017,UT,Mathematics,4,All,242.48,222.31,245.46,264.75,32.07,18.61,36.05,81.39,35.89,45.34,9.45,9.45
2017,VT,Mathematics,4,All,240.89,221.12,242.73,263.42,31.99,19.05,38.74,80.95,33.51,42.21,8.70,8.70
2017,VA,Mathematics,4,All,248.04,228.31,249.19,269.09,29.84,13.31,36.46,86.69,37.75,50.23,12.48,12.48
2017,WA,Mathematics,4,All,241.70,220.44,242.93,264.00,32.68,19.51,38.07,80.49,31.91,42.42,10.50,10.50
2017,WV,Mathematics,4,All,236.06,217.76,238.26,256.59,30.08,21.52,43.53,78.48,29.77,34.96,5.18,5.18
2017,WI,Mathematics,4,All,240.39,219.52,242.58,263.31,32.15,20.50,37.66,79.50,32.95,41.83,8.89,8.89
2017,WY,Mathematics,4,All,247.82,230.30,249.56,267.14,27.98,11.38,37.83,88.62,40.78,50.78,10.00,10.00
2017,AL,Mathematics,4,White,241.84,225.01,244.34,260.91,27.46,14.87,42.21,85.13,37.50,42.92,5.42,5.42
2017,AK,Mathematics,4,White,243.72,226.41,245.58,264.11,29.74,13.94,40.87,86.06,36.45,45.19,8.73,8.73
2017,AZ,Mathematics,4,White,247.17,226.88,248.64,268.70,30.68,14.48,36.00,85.52,37.17,49.51,12.34,12.34
2017,AR,Mathematics,4,White,240.28,221.92,241.91,260.66,29.23,17.53,42.18,82.47,33.75,40.29,6.54,6.54
2017,CA,Mathematics,4,White,245.35,226.99,247.17,265.72,30.22,15.29,37.42,84.71,37.27,47.29,10.03,10.03
2017,CO,Mathematics,4,White,250.27,232.19,252.37,270.26,29.09,10.74,34.56,89.26,42.09,54.70,12.62,12.62
2017,CT,Mathematics,4,White,248.64,231.79,250.17,267.23,27.08,10.62,37.57,89.38,41.77,51.81,10.03,10.03
2017,DE,Mathematics,4,White,246.23,227.93,248.54,266.96,30.78,14.07,36.50,85.93,38.33,49.42,11.09,11.09
2017,DC,Mathematics,4,White,271.92,253.49,272.63,291.15,27.79,2.79,17.50,97.21,42.60,79.71,37.11,37.11
2017,FL,Mathematics,4,White,255.11,238.59,256.29,272.20,24.65,5.43,33.17,94.57,47.63,61.40,13.77,13.77
2017,GA,Mathematics,4,White,247.01,229.39,248.94,266.26,28.48,12.32,37.81,87.68,40.13,49.88,9.74,9.74
2017,HI,Mathematics,4,White,248.14,231.45,249.76,267.01,27.79,11.60,37.42,88.40,40.73,50.98,10.25,10.25
2017,ID,Mathematics,4,White,244.35,226.75,246.05,263.26,27.49,13.62,40.83,86.38,37.85,45.54,7.70,7.70
2017,IL,Mathematics,4,White,249.03,229.63,250.81,270.50,30.82,12.83,34.70,87.17,39.18,52.47,13.30,13.30
2017,IN,Mathematics,4,White,251.23,232.84,252.08,271.31,29.49,9.79,35.84,90.21,40.10,54.37,14.27,14.27
2017,IA,Mathematics,4,White,247.39,229.26,249.88,267.70,29.41,12.64,36.10,87.36,40.89,51.26,10.37,10.37
2017,KS,Mathematics,4,White,245.64,227.86,247.20,264.99,28.11,12.86,39.66,87.14,38.72,47.48,8.76,8.76
2017,KY,Mathematics,4,White,242.84,224.73,245.22,263.24,29.17,15.65,39.72,84.35,37.40,44.63,7.23,7.23
2017,LA,Mathematics,4,White,242.28,226.38,243.83,260.02,26.03,12.82,45.66,87.18,36.64,41.51,4.88,4.88
2017,ME,Mathematics,4,White,241.21,223.16,243.34,261.37,29.61,17.13,41.10,82.87,34.72,41.78,7.06,7.06
2017,MD,Mathematics,4,White,254.27,236.22,257.00,275.58,30.70,9.84,29.87,90.16,42.45,60.28,17.83,17.83
2017,MA,Mathematics,4,White,255.11,238.01,257.62,274.51,27.81,8.19,29.54,91.81,46.09,62.27,16.18,16.18
2017,MI,Mathematics,4,White,241.66,223.18,243.31,261.69,29.31,17.09,41.06,82.91,34.22,41.85,7.63,7.63
2017,MN,Mathematics,4,White,256.07,238.43,257.78,275.66,28.42,7.33,30.38,92.67,44.60,62.30,17.70,17.70
2017,MS,Mathematics,4,White,246.35,230.07,247.85,264.02,25.95,10.86,40.88,89.14,40.70,48.26,7.56,7.56
2017,MO,Mathematics,4,White,245.02,226.69,246.82,265.23,29.01,14.43,38.61,85.57,37.99,46.95,8.97,8.97
2017,MT,Mathematics,4,White,245.09,227.69,246.75,264.34,26.98,12.73,40.53,87.27,39.66,46.74,7.08,7.08
2017,NE,Mathematics,4,White,252.15,236.20,254.35,270.61,26.68,8.32,33.70,91.68,46.05,57.98,11.93,11.93
2017,NV,Mathematics,4,White,241.08,223.44,243.55,261.48,28.50,16.48,41.39,83.52,37.05,42.13,5.08,5.08
2017,NH,Mathematics,4,White,246.14,227.96,248.11,266.34,28.56,13.44,37.69,86.56,39.40,48.87,9.47,9.47
2017,NJ,Mathematics,4,White,255.37,239.12,256.41,273.35,26.15,6.15,32.75,93.85,45.99,61.10,15.11,15.11
2017,NM,Mathematics,4,White,244.50,225.13,246.12,264.97,29.45,15.04,38.63,84.96,36.83,46.33,9.49,9.49
2017,NY,Mathematics,4,White,243.72,226.65,245.77,263.01,28.14,14.48,40.34,85.52,37.83,45.18,7.34,7.34
2017,NC,Mathematics,4,White,250.72,233.39,252.56,270.35,28.64,10.69,33.89,89.31,42.36,55.43,13.07,13.07
2017,ND,Mathematics,4,White,248.08,231.38,250.23,266.94,27.58,11.25,36.97,88.75,42.26,51.78,9.52,9.52
2017,OH,Mathematics,4,White,246.24,228.36,247.63,264.88,28.04,13.13,39.01,86.87,38.28,47.87,9.59,9.59
2017,OK,Mathematics,4,White,243.64,227.46,245.13,261.86,26.70,12.97,43.27,87.03,37.53,43.76,6.23,6.23
2017,OR,Mathematics,4,White,238.78,218.79,240.13,260.54,31.63,20.47,40.84,79.53,30.77,38.70,7.93,7.93
2017,PA,Mathematics,4,White,250.05,232.05,251.67,269.56,28.60,10.61,35.38,89.39,41.69,54.01,12.31,12.31
2017,RI,Mathematics,4,White,244.86,227.48,247.65,265.49,29.67,14.63,37.15,85.37,39.44,48.22,8.78,8.78
2017,SC,Mathematics,4,White,244.78,226.81,245.88,264.45,28.18,13.92,40.73,86.08,36.66,45.35,8.69,8.69
2017,SD,Mathematics,4,White,247.40,231.18,248.93,265.21,26.28,10.47,39.61,89.53,41.34,49.92,8.58,8.58
2017,TN,Mathematics,4,White,243.54,224.73,245.16,264.31,29.61,15.48,39.90,84.52,35.89,44.63,8.74,8.74
2017,TX,Mathematics,4,White,252.65,236.19,255.04,271.58,28.02,8.81,32.24,91.19,45.70,58.95,13.26,13.26
2017,UT,Mathematics,4,White,246.93,228.44,249.62,267.59,30.37,14.04,35.05,85.96,39.89,50.91,11.03,11.03
2017,VT,Mathematics,4,White,241.32,221.79,243.21,263.66,31.68,18.52,38.77,81.48,34.10,42.71,8.61,8.61
2017,VA,Mathematics,4,White,257.64,241.00,259.56,275.63,26.35,5.87,28.71,94.13,48.40,65.42,17.02,17.02
2017,WA,Mathematics,4,White,247.83,229.00,248.97,268.10,29.79,12.80,37.22,87.20,37.78,49.97,12.20,12.20
2017,WV,Mathematics,4,White,236.58,218.56,238.71,256.88,29.78,20.74,43.87,79.26,30.20,35.39,5.18,5.18
2017,WI,Mathematics,4,White,246.81,228.23,248.57,267.69,29.46,13.45,37.10,86.55,38.56,49.45,10.89,10.89
