Year,Jurisdiction,Subject,Grade,Subgroup,Mean,25th Percentile,50th Percentile,75th Percentile,Standard Deviation,Cumulative achievement level - Below Basic,Discrete achievement level - At Basic,Cumulative achievement level - At or above Basic,Discrete achievement level - At Proficient,Cumulative achievement level - At or above Proficient,Discrete achievement level - At Advanced,Cumulative achievement level - At Advanced
2013,AL,Mathematics,4,All,232.86,214.04,233.88,252.84,28.26,24.95,45.26,75.05,26.41,29.79,3.38,3.38
2013,AK,Mathematics,4,All,236.12,215.68,238.61,258.80,32.24,23.45,39.88,76.55,30.42,36.67,6.26,6.26
2013,AZ,Mathematics,4,All,240.30,221.58,241.68,260.28,29.96,18.08,42.32,81.92,32.33,39.60,7.27,7.27
2013,AR,Mathematics,4,All,239.89,222.22,241.64,259.37,27.97,17.08,43.64,82.92,34.08,39.29,5.20,5.20
2013,CA,Mathematics,4,All,233.65,212.70,234.85,255.60,31.24,26.24,41.16,73.76,27.23,32.60,5.36,5.36
2013,CO,Mathematics,4,All,246.98,228.33,248.95,267.50,29.14,13.00,37.07,87.00,39.31,49.94,10.63,10.63
2013,CT,Mathematics,4,All,243.44,224.37,245.49,264.33,29.80,16.50,38.35,83.50,36.44,45.15,8.71,8.71
2013,DE,Mathematics,4,All,243.11,225.42,243.78,261.81,27.35,14.14,43.73,85.86,34.94,42.13,7.19,7.19
2013,DC,Mathematics,4,All,228.57,205.40,228.51,252.27,34.90,33.54,38.56,66.46,21.60,27.89,6.29,6.29
2013,FL,Mathematics,4,All,241.68,223.85,242.68,260.86,27.41,15.58,43.67,84.42,34.40,40.74,6.35,6.35
2013,GA,Mathematics,4,All,240.05,220.11,240.94,260.78,29.58,19.02,41.58,80.98,32.28,39.40,7.12,7.12
2013,HI,Mathematics,4,All,243.31,224.02,245.92,265.17,30.93,16.68,37.32,83.32,37.20,46.00,8.80,8.80
2013,ID,Mathematics,4,All,240.72,222.51,241.82,260.25,28.03,16.88,43.42,83.12,33.28,39.70,6.42,6.42
2013,IL,Mathematics,4,All,239.00,217.93,239.92,261.40,31.74,21.43,39.48,78.57,30.71,39.09,8.37,8.37
2013,IN,Mathematics,4,All,248.60,231.60,250.15,267.15,27.35,10.32,37.86,89.68,41.73,51.82,10.09,10.09
2013,IA,Mathematics,4,All,245.79,227.66,247.47,265.58,28.53,13.42,38.89,86.58,38.28,47.69,9.41,9.41
2013,KS,Mathematics,4,All,246.19,229.55,247.46,264.12,26.21,11.00,41.43,89.00,39.87,47.56,7.69,7.69
2013,KY,Mathematics,4,All,241.47,223.32,242.87,261.18,28.14,16.22,42.32,83.78,35.14,41.46,6.32,6.32
2013,LA,Mathematics,4,All,231.37,213.64,232.38,250.02,27.34,25.39,48.28,74.61,23.71,26.33,2.63,2.63
2013,ME,Mathematics,4,All,245.85,228.66,247.33,264.63,27.54,12.47,40.04,87.53,38.92,47.49,8.56,8.56
2013,MD,Mathematics,4,All,245.17,222.86,245.99,268.36,33.36,17.70,35.79,82.30,33.15,46.51,13.36,13.36
2013,MA,Mathematics,4,All,253.03,234.70,255.05,273.41,29.31,9.84,31.81,90.16,42.79,58.35,15.56,15.56
2013,MI,Mathematics,4,All,236.82,215.94,238.84,259.03,31.63,23.28,39.85,76.72,30.27,36.88,6.61,6.61
2013,MN,Mathematics,4,All,253.42,235.40,256.01,273.78,29.50,9.93,30.66,90.07,43.57,59.41,15.84,15.84
2013,MS,Mathematics,4,All,231.11,213.15,231.47,249.94,27.03,26.02,47.91,73.98,23.65,26.08,2.42,2.42
2013,MO,Mathematics,4,All,239.55,222.39,241.55,258.77,28.34,17.34,43.91,82.66,33.41,38.75,5.34,5.34
2013,MT,Mathematics,4,All,243.70,226.43,245.74,262.80,27.47,14.12,40.86,85.88,38.31,45.02,6.71,6.71
2013,NE,Mathematics,4,All,243.16,224.76,245.10,263.60,29.43,15.64,39.69,84.36,36.68,44.66,7.99,7.99
2013,NV,Mathematics,4,All,236.26,219.02,238.34,255.58,28.24,20.06,45.97,79.94,30.09,33.98,3.89,3.89
2013,NH,Mathematics,4,All,252.99,237.21,254.51,270.80,25.90,7.44,33.87,92.56,46.38,58.69,12.31,12.31
2013,NJ,Mathematics,4,All,246.87,228.66,248.55,266.85,29.43,12.98,37.63,87.02,38.93,49.39,10.45,10.45
2013,NM,Mathematics,4,All,232.78,213.00,234.03,253.67,29.76,26.04,43.41,73.96,26.66,30.56,3.90,3.90
2013,NY,Mathematics,4,All,240.35,222.05,241.64,260.31,28.92,17.61,42.74,82.39,33.13,39.65,6.52,6.52
2013,NC,Mathematics,4,All,244.80,226.84,245.78,263.99,27.54,13.19,41.57,86.81,37.13,45.24,8.11,8.11
2013,ND,Mathematics,4,All,246.42,230.08,247.77,264.03,25.66,10.76,41.19,89.24,40.61,48.05,7.44,7.44
2013,OH,Mathematics,4,All,245.55,227.17,247.61,265.57,29.42,14.48,37.49,85.52,38.28,48.03,9.75,9.75
2013,OK,Mathematics,4,All,238.92,221.64,240.05,257.31,26.74,17.24,46.34,82.76,31.80,36.42,4.62,4.62
2013,OR,Mathematics,4,All,240.10,220.29,241.39,261.22,30.67,19.20,40.57,80.80,32.55,40.23,7.68,7.68
2013,PA,Mathematics,4,All,244.01,225.60,245.09,263.74,28.57,14.72,40.80,85.28,36.07,44.48,8.42,8.42
2013,RI,Mathematics,4,All,241.42,223.14,243.72,262.25,30.01,17.34,40.17,82.66,35.24,42.50,7.26,7.26
2013,SC,Mathematics,4,All,236.63,217.90,238.07,256.93,29.52,21.20,43.67,78.80,29.92,35.13,5.22,5.22
2013,SD,Mathematics,4,All,240.98,224.11,242.79,259.69,27.13,15.77,43.87,84.23,35.11,40.36,5.26,5.26
2013,TN,Mathematics,4,All,239.77,219.83,241.60,260.90,29.91,19.66,40.09,80.34,33.38,40.25,6.87,6.87
2013,TX,Mathematics,4,All,241.93,223.56,242.83,261.10,28.09,15.85,43.03,84.15,34.10,41.12,7.02,7.02
2013,UT,Mathematics,4,All,242.82,223.88,244.60,263.53,29.96,16.59,39.38,83.41,35.74,44.03,8.29,8.29
2013,VT,Mathematics,4,All,247.80,229.35,250.01,268.27,29.00,12.65,35.85,87.35,40.65,51.50,10.85,10.85
2013,VA,Mathematics,4,All,246.18,228.08,247.11,265.06,27.67,12.39,40.40,87.61,37.97,47.21,9.24,9.24
2013,WA,Mathematics,4,All,246.29,227.44,247.86,266.28,29.54,13.72,37.85,86.28,37.94,48.43,10.49,10.49
2013,WV,Mathematics,4,All,237.44,219.81,238.76,256.49,27.60,19.25,45.51,80.75,30.86,35.23,4.38,4.38
2013,WI,Mathematics,4,All,244.71,225.91,246.98,265.63,29.90,14.97,37.85,85.03,37.95,47.18,9.23,9.23
2013,WY,Mathematics,4,All,246.52,230.60,247.62,263.44,24.59,9.81,42.37,90.19,41.25,47.81,6.56,6.56
2013,AL,Mathematics,4,White,241.70,225.31,242.72,258.73,25.12,13.66,46.18,86.34,35.38,40.16,4.78,4.78
2013,AK,Mathematics,4,White,249.06,231.91,250.22,267.82,27.18,10.08,38.11,89.92,41.28,51.81,10.53,10.53
2013,AZ,Mathematics,4,White,251.22,234.98,252.09,269.01,27.11,8.44,36.52,91.56,43.21,55.04,11.83,11.83
2013,AR,Mathematics,4,White,245.74,229.67,247.15,263.68,25.88,10.69,42.15,89.31,40.49,47.15,6.66,6.66
2013,CA,Mathematics,4,White,248.64,232.47,251.09,267.31,26.98,10.88,35.73,89.12,44.36,53.38,9.02,9.02
2013,CO,Mathematics,4,White,255.70,239.47,256.99,273.06,25.11,5.69,32.05,94.31,47.70,62.26,14.56,14.56
2013,CT,Mathematics,4,White,253.06,237.17,253.93,269.92,24.92,6.34,35.64,93.66,46.50,58.02,11.51,11.51
2013,DE,Mathematics,4,White,252.41,236.86,253.49,269.27,24.76,6.38,36.33,93.62,46.69,57.29,10.60,10.60
2013,DC,Mathematics,4,White,276.21,262.09,277.07,292.80,24.79,1.76,10.55,98.24,46.42,87.68,41.26,41.26
2013,FL,Mathematics,4,White,250.53,234.15,251.28,268.13,24.90,7.82,38.63,92.18,43.52,53.55,10.02,10.02
2013,GA,Mathematics,4,White,249.82,233.09,250.98,268.56,26.70,8.76,38.26,91.24,42.77,52.98,10.21,10.21
2013,HI,Mathematics,4,White,253.23,235.91,256.52,272.98,29.58,9.10,30.88,90.90,45.33,60.02,14.69,14.69
2013,ID,Mathematics,4,White,244.28,226.97,245.18,262.81,26.59,12.86,42.96,87.14,36.89,44.18,7.29,7.29
2013,IL,Mathematics,4,White,247.99,229.34,250.08,268.33,29.14,12.44,36.19,87.56,40.12,51.36,11.25,11.25
2013,IN,Mathematics,4,White,252.07,236.44,253.69,269.55,25.97,7.48,34.95,92.52,46.28,57.57,11.29,11.29
2013,IA,Mathematics,4,White,248.73,231.41,250.08,267.39,26.95,10.17,38.28,89.83,41.32,51.55,10.23,10.23
2013,KS,Mathematics,4,White,249.99,234.37,251.03,266.73,24.55,7.39,39.24,92.61,44.44,53.37,8.93,8.93
2013,KY,Mathematics,4,White,244.04,226.88,245.48,262.85,26.95,13.24,41.86,86.76,38.20,44.90,6.71,6.71
2013,LA,Mathematics,4,White,242.33,226.83,243.23,259.07,24.72,12.07,47.95,87.93,35.26,39.98,4.72,4.72
