Year,Jurisdiction,Subject,Grade,Subgroup,Mean,25th Percentile,50th Percentile,75th Percentile,Standard Deviation,Cumulative achievement level - Below Basic,Discrete achievement level - At Basic,Cumulative achievement level - At or above Basic,Discrete achievement level - At Proficient,Cumulative achievement level - At or above Proficient,Discrete achievement level - At Advanced,Cumulative achievement level - At Advanced
2015,AL,Mathematics,4,All,230.98,213.63,231.84,249.88,27.44,25.40,48.52,74.60,23.83,26.08,2.25,2.25
2015,AK,Mathematics,4,All,236.33,216.86,237.78,257.25,31.03,22.29,42.59,77.71,29.10,35.11,6.01,6.01
2015,AZ,Mathematics,4,All,237.61,217.95,239.59,258.67,30.21,21.23,40.93,78.77,31.84,37.84,6.00,6.00
2015,AR,Mathematics,4,All,235.22,217.50,236.65,254.34,27.52,21.40,46.65,78.60,28.47,31.95,3.48,3.48
2015,CA,Mathematics,4,All,231.55,211.48,232.81,252.60,31.11,27.64,43.20,72.36,24.50,29.16,4.66,4.66
2015,CO,Mathematics,4,All,241.56,221.92,243.28,263.06,30.79,17.99,39.35,82.01,34.22,42.66,8.43,8.43
2015,CT,Mathematics,4,All,240.16,219.99,242.01,261.61,30.20,19.47,39.64,80.53,33.74,40.89,7.16,7.16
2015,DE,Mathematics,4,All,238.68,220.99,239.94,258.08,27.94,18.24,44.96,81.76,31.72,36.80,5.08,5.08
2015,DC,Mathematics,4,All,231.31,208.30,231.60,254.94,34.30,30.82,38.50,69.18,23.64,30.68,7.05,7.05
2015,FL,Mathematics,4,All,242.66,225.02,243.64,261.21,27.56,15.02,42.96,84.98,34.92,42.03,7.10,7.10
2015,GA,Mathematics,4,All,236.45,216.63,237.44,256.82,28.90,22.28,43.09,77.72,29.49,34.63,5.14,5.14
2015,HI,Mathematics,4,All,237.90,218.13,239.65,260.32,31.33,21.24,40.47,78.76,31.70,38.28,6.59,6.59
2015,ID,Mathematics,4,All,238.80,219.39,240.03,259.53,29.00,19.82,42.02,80.18,32.33,38.15,5.83,5.83
2015,IL,Mathematics,4,All,237.31,216.30,238.20,259.71,32.24,22.93,40.42,77.07,28.82,36.64,7.83,7.83
2015,IN,Mathematics,4,All,247.65,230.69,248.84,265.91,27.04,10.73,39.52,89.27,40.37,49.75,9.38,9.38
2015,IA,Mathematics,4,All,243.34,224.37,244.80,264.27,29.65,15.88,39.82,84.12,35.60,44.30,8.70,8.70
2015,KS,Mathematics,4,All,241.07,222.68,242.86,261.16,29.27,17.12,41.55,82.88,34.20,41.32,7.13,7.13
2015,KY,Mathematics,4,All,241.73,223.57,242.58,260.38,27.81,15.92,43.59,84.08,33.45,40.48,7.03,7.03
2015,LA,Mathematics,4,All,234.28,216.43,234.93,252.61,26.90,22.48,47.88,77.52,26.14,29.64,3.50,3.50
2015,ME,Mathematics,4,All,242.24,224.16,242.76,261.50,28.21,15.19,43.70,84.81,33.65,41.11,7.46,7.46
2015,MD,Mathematics,4,All,239.50,218.73,241.45,261.39,31.52,21.06,38.78,78.94,32.29,40.15,7.86,7.86
2015,MA,Mathematics,4,All,250.57,231.79,251.76,269.90,28.68,10.40,35.66,89.60,40.84,53.94,13.10,13.10
2015,MI,Mathematics,4,All,235.73,216.64,236.93,256.24,29.76,22.50,43.54,77.50,29.01,33.95,4.95,4.95
2015,MN,Mathematics,4,All,249.58,230.32,251.65,271.32,31.54,12.80,33.78,87.20,39.13,53.42,14.29,14.29
2015,MS,Mathematics,4,All,234.24,216.31,234.86,252.68,26.81,22.33,48.11,77.67,26.16,29.55,3.39,3.39
2015,MO,Mathematics,4,All,238.96,221.32,240.83,259.06,28.80,18.13,43.50,81.87,33.26,38.37,5.12,5.12
2015,MT,Mathematics,4,All,241.29,223.21,242.63,260.94,27.95,16.26,42.80,83.74,34.53,40.95,6.42,6.42
2015,NE,Mathematics,4,All,243.86,226.63,246.09,263.11,27.70,14.31,40.14,85.69,38.50,45.55,7.06,7.06
2015,NV,Mathematics,4,All,233.83,214.93,235.64,254.36,29.64,24.05,44.07,75.95,27.77,31.88,4.11,4.11
2015,NH,Mathematics,4,All,249.15,232.47,249.95,267.01,26.38,8.99,39.58,91.01,41.41,51.43,10.03,10.03
2015,NJ,Mathematics,4,All,245.38,227.14,246.80,264.97,28.96,13.73,39.40,86.27,37.51,46.87,9.36,9.36
2015,NM,Mathematics,4,All,231.17,212.64,232.08,250.57,28.58,26.54,46.57,73.46,23.70,26.88,3.18,3.18
2015,NY,Mathematics,4,All,236.80,217.95,237.97,256.70,28.92,21.13,43.96,78.87,29.65,34.91,5.27,5.27
2015,NC,Mathematics,4,All,243.74,225.65,244.95,263.48,28.34,14.79,40.86,85.21,36.26,44.36,8.10,8.10
2015,ND,Mathematics,4,All,244.71,227.71,245.52,263.18,27.13,12.45,42.76,87.55,36.89,44.79,7.89,7.89
2015,OH,Mathematics,4,All,243.60,225.23,244.99,263.67,28.70,14.80,40.61,85.20,36.64,44.59,7.95,7.95
2015,OK,Mathematics,4,All,239.76,222.85,239.94,257.69,26.49,15.73,47.59,84.27,31.61,36.68,5.07,5.07
2015,OR,Mathematics,4,All,237.75,218.26,239.21,258.76,30.03,21.01,41.94,78.99,31.16,37.05,5.90,5.90
2015,PA,Mathematics,4,All,243.31,223.23,245.11,264.91,30.71,17.33,37.69,82.67,35.31,44.98,9.68,9.68
2015,RI,Mathematics,4,All,238.00,219.44,239.87,258.75,29.71,19.87,42.64,80.13,31.92,37.49,5.56,5.56
2015,SC,Mathematics,4,All,237.09,218.24,238.93,258.02,29.94,20.94,43.03,79.06,30.50,36.03,5.53,5.53
2015,SD,Mathematics,4,All,239.72,222.87,242.05,259.25,27.96,17.17,43.08,82.83,35.35,39.76,4.41,4.41
